0,1,-0.286832616266691,False,1,,,
0,2,2.175176501274109,False,108,0,,
2,1,-1.1189078544945352,True,109,,,
0,3,1.3390260338783264,False,416,,,
3,2,0.5961709320545197,False,417,0,,
3,4,0.5461852550506592,True,479,,,
4,2,-0.4564972519874573,True,480,0,,
0,5,0.5923717021942139,True,714,0,,
5,3,1.3088862299919128,False,715,,0,
3,2,-1.009924300384606,True,1038,1,,
5,1,-2.3647260665893555,False,1101,,0,
5,6,-0.25701630115509033,True,1429,,0,
6,3,1.2888597548007965,True,1430,,,
0,6,-1.6723790960201577,True,3413,,,
5,7,1,True,7209,0,0,
7,1,-2.3647260665893555,True,7210,,,
4,1,0.9238123334404016,True,15319,,,
